property_size_sqft,market_demand_index,construction_cost,location,use_type,school_rating,crime_index,traffic_congestion_score,development_activity_score,view_score,amenity_score,loan_term_years,rental_yield_percent,risk_score,roi_percent,tax_saving_percent,demand_forecast,material_cost_estimate,land_acquisition_index,investor_score,recommendation_score
7770,0.56,1450485,San Francisco,Industrial,6.697653881495617,7.302433343578681,9.440432199865604,2.5240171494215122,45.07060582503857,5.304588119702835,23,7.643044477179338,6.982080521921148,30.912789042318014,7.252425000000001,0.540152190599502,1889528.5868188785,1.9192376873384482,44.44031462777511,0.44440314627775107
1360,0.31,834444,Chicago,Industrial,5.223567045932113,4.8987047671774455,7.094304700045023,6.568152310884489,75.36101314779872,54.29263890997844,25,4.332621734079446,4.8733132677104685,16.764403903219783,4.172219999999999,0.5404335202006755,330728.2983363803,6.893014589639158,46.50074640739304,0.4650074640739304
5890,0.34,1761076,Los Angeles,Mixed-use,4.98753426097379,6.307174444919292,2.0711917404382696,1.9820626523551965,95.56394617234216,26.006274804219064,29,4.26358054429865,5.714265033662125,15.010728276573955,8.80538,0.312959643719374,1432345.3508832941,0.6624224684096944,36.69430467202123,0.36694304672021233
5691,0.6,1691935,Austin,Residential,5.447329035740944,7.396828977631081,1.6203509032118375,1.4400322391982212,77.20895238812851,58.76901275598188,22,3.9063022115845447,6.021643395024037,12.134682080291643,8.459675,0.5240650324072894,1383952.0189943677,0.0,37.653892921200594,0.37653892921200594
6234,0.54,192990,Boston,Mixed-use,8.749407695529808,6.122757656938724,5.351948657113321,9.994678942025802,84.2371333818322,26.132839594090186,24,9.000976458811602,3.158931806790579,38.88212463711928,0.96495,0.9172787939625155,1516000.1557566137,12.621328980616887,75.88019162756899,0.7588019162756899
6765,0.93,1198095,New York,Residential,5.15050211128519,0.16675813489839153,2.980810594425452,6.223759314731741,76.06065813900618,98.4957969625831,21,8.943715573457265,2.7489613426780473,44.55181973238793,5.990475,1.0,1645130.1016511857,11.207503291118542,82.98628512604253,0.8298628512604254
966,0.49,1138079,Austin,Residential,9.459386127728402,1.9477349768722585,3.285862780386281,4.309878726571905,16.821109243354158,30.972818372753185,18,7.047763558960465,3.056652205621682,33.29108281793007,5.6903950000000005,0.6665392367911501,234914.36484775247,11.821529877428048,68.02217339847263,0.6802217339847263
4926,0.66,1320351,Seattle,Commercial,5.536033872366934,8.10468217215466,8.899229609450634,2.8816452288395134,83.35741096457367,24.1960635674496,27,5.783847850965887,7.239550230411284,20.814557082674774,6.601755000000001,0.6419886179988825,1197917.351180154,0.31299692905178667,39.13075545752609,0.3913075545752609
6078,0.71,1061883,San Francisco,Residential,9.542806238628023,2.7265064731248465,1.806094218846796,6.039204436622274,19.510882002421003,27.8465290915346,23,7.376915680790392,2.458848206994526,34.15807193082712,5.3094149999999996,0.9574300923686168,1478063.6744768524,12.85550420212545,77.34920397089597,0.7734920397089597
8822,0.21,1748321,Seattle,Residential,8.495487116821682,7.315621195611339,7.438277037060007,0.49593508220086124,89.2611328044147,89.64728572592954,29,6.857835602387126,6.834463818070809,26.973556816324287,8.741605,0.08848433019781629,2145356.652884961,1.6758010034112036,33.781501603396855,0.3378150160339686
2185,0.73,793226,Chicago,Mixed-use,4.261881903542462,3.721202152416987,3.4402802804252923,0.9468099050479506,45.864989808107595,63.62188286693448,13,5.325873986587099,5.667997349587277,22.908167780518507,3.9661299999999997,0.7029164522040577,531353.920488964,1.4874896561734254,49.46324296445587,0.4946324296445587
1269,0.34,1276553,Chicago,Residential,8.772772791669544,5.2188432815794314,7.84295399263724,0.32856697740396346,67.69767523110285,73.06840974207765,17,5.037046939885075,6.28111913144618,19.96639141784594,6.382765,0.2520514832386096,308598.68425651954,3.882496487494077,35.615268858248854,0.35615268858248855
7449,0.97,1698702,San Francisco,Mixed-use,1.990569557810037,0.679732998194037,7.501702460171901,4.991698332626617,49.724084788064346,91.80105100943504,17,5.062354465162802,4.808636980142599,24.63203932761997,8.49351,1.0,1811466.9811086005,6.302534892242617,60.73603869585899,0.6073603869585898
2933,0.32,1580071,Los Angeles,Industrial,9.32542457808713,1.8122556104970955,1.0665271129986373,6.006066291871825,9.399092941660204,91.18724848450074,25,6.713067225248306,2.0900773025698824,31.753080515744436,7.900355,0.5840582023836494,713254.4845739731,13.51923525946186,70.28262584427023,0.7028262584427023
5811,0.53,1742353,Los Angeles,Residential,6.684791635746024,9.571969635192346,5.582218716294392,0.6247976135782085,29.07223076206651,73.89458465787276,19,7.181354848966607,7.463637022593915,26.334804609640692,8.711765,0.3698004879750636,1413133.9276711072,0.0,35.87870741231612,0.3587870741231612
5551,0.27,106806,Chicago,Residential,1.4895167367008006,8.90138053446914,2.2538753414024173,7.212244674989165,98.3731853997006,19.78244288413229,26,5.613934028123536,5.659612478784316,19.16828960614854,0.53403,0.4525846230600755,1349906.4588715052,0.0,42.25460383096905,0.4225460383096905
6920,1.0,1304648,Chicago,Mixed-use,6.798310512857304,6.522751108990502,8.796043275208092,2.303950715145644,96.07147516698174,84.33733206750055,10,9.749531601704344,6.665186670623614,42.22490689953122,6.52324,0.9847425135774722,1682823.4003586408,2.579510119012446,61.70386105815011,0.6170386105815011
1684,0.6,495384,Boston,Industrial,9.768228887302804,4.5964459738573735,8.84427294576166,6.852014537698661,32.04868976555473,20.37760341910637,27,2.6707657440358483,4.138538242539385,8.757382746321866,2.47692,0.8506718074077856,409519.45176357677,12.023797451144091,51.57517458325191,0.515751745832519
5055,0.68,150119,New York,Commercial,1.6282058915316604,6.757612928952238,4.765112267443822,9.818971400352456,99.62968042452258,74.28988140984319,19,4.776376207630216,4.708973733762367,17.12426810919884,0.750595,1.0,1229287.903007649,4.689564362931879,56.72969219670747,0.5672969219670747
3885,0.25,1953722,Boston,Industrial,5.992189388020777,6.18610289093939,4.999560566059725,6.911058700538511,84.55511954968996,68.56030665448743,13,5.3525974650035275,4.583987492728053,20.576884434078245,9.768609999999999,0.4718308772081377,944764.2934094393,6.717145197619898,48.86281074096944,0.48862810740969437
6896,0.8,1313741,Boston,Mixed-use,7.730149147834352,5.685522556046121,3.7295464546407437,8.831930529236086,61.09594994322547,75.88888501404466,10,2.135370747719545,3.255957069404289,4.991331182551604,6.5687050000000005,1.0,1676987.018623293,10.876557121024316,56.71501336250952,0.5671501336250951
9166,0.37,1970427,Los Angeles,Industrial,8.292327280295781,0.5917707186354182,7.449456690640279,9.481985067430674,4.012462026100949,53.26856807138157,13,4.919657501345801,2.1643615774303226,24.00651678809359,9.852135,0.8322638389988253,2229011.4577582804,17.18254162909104,70.22737896568105,0.7022737896568105
9774,0.92,709720,San Francisco,Mixed-use,4.724447187887162,6.328026106615069,4.227952267238132,4.867510483523155,90.14468295383796,63.872618224921965,13,4.18967933738274,5.338855702797768,14.620370580298633,3.5486,1.0,2376866.461720427,3.2639315647952474,52.077943834190336,0.5207794383419033
3058,0.36,550641,Los Angeles,Mixed-use,2.837499032514187,7.689200445711684,3.410132270703704,7.023249794197069,55.742927926431975,95.33200804342553,13,6.048290161819846,5.314311843092288,22.552250363387547,2.7532050000000003,0.5573784807956197,743652.3061122433,2.171548380999571,48.10736061848348,0.48107360618483486
8349,0.35,959381,New York,Commercial,1.3810805089514546,9.940816546455755,4.890079535540574,8.519692535558418,86.84761512027696,10.10885941742149,26,4.691284377466154,6.128137008587025,13.515605340875014,4.796905000000001,0.5771682958488058,2030331.2961841463,0.0,39.012044078566,0.39012044078566
2547,0.23,1599603,Seattle,Residential,6.217535413875023,0.11078552594309676,1.8233876654871284,3.566089128743861,83.44291199057423,30.884727478162,18,7.80945707957169,3.0845793694821917,38.93649987191535,7.9980150000000005,0.4060887459183311,619386.0116637945,9.672839016675788,66.06077799410487,0.6606077799410487
3247,0.58,487507,Chicago,Mixed-use,5.076199632408497,7.3017345331067665,7.719428841797835,2.613973165603949,83.3006215201086,61.13570130983824,28,6.079459963261188,6.934974252128713,23.09556528319917,2.437535,0.564663967618062,789613.812278108,0.38843826490567945,40.475747261637174,0.40475747261637174
9667,0.65,1830740,Chicago,Mixed-use,9.5386995563474,5.717893159359805,1.1133676114460827,9.465985727783387,69.8173860714905,96.40541301314893,22,3.038097867970115,2.190505840492662,9.472596180490772,9.1537,1.0,2350845.926483668,13.286792124770983,64.73102850583115,0.6473102850583115
689,0.25,943403,New York,Commercial,1.545444169434188,4.340521760809567,6.800365553685346,7.26303500368818,29.141513867604864,9.557444766260115,13,8.000490593154778,5.174230303986648,35.661931204964326,4.717015,0.5263413149682177,167552.7923189456,4.467957412312801,56.052833502409705,0.560528335024097
3234,0.82,959903,Boston,Mixed-use,7.168558091014051,1.2757017457137088,2.645780740793852,2.196821333758263,33.616025774451984,2.2549221530086427,14,2.793831168661413,3.8191086535425938,12.693454097593355,4.7995149999999995,0.9043270317736389,786452.4388381278,8.089677679058605,56.60706982631582,0.5660706982631583
3505,0.56,1979954,San Francisco,Residential,1.2246959990805144,4.090851486348762,3.091636415929718,4.490833926761134,30.846921258268633,5.574959847032801,22,8.712393344634858,5.253393351246129,39.47111523682553,9.89977,0.7027246666110815,852354.9159330977,1.6246784394928868,61.4701957180863,0.6147019571808631
5158,0.62,965421,Chicago,Commercial,2.5429075903948846,3.543771829861353,6.72068798776036,7.964517695378094,2.0045999532564696,5.240568646119881,25,9.451377552689756,4.509332319818073,43.713115933587424,4.8271049999999995,0.9473504481716777,1254335.7079551835,6.963653455911626,72.62821692449563,0.7262821692449564
2399,0.55,164080,Austin,Residential,5.082210999305508,3.028298889787422,9.936491192046164,5.470629909184421,58.256890921481116,90.78158577774043,14,4.579562321478831,5.238156732729031,19.869512717606735,0.8204,0.7629655176634726,583394.9909624825,7.5245420187025065,50.990234320188335,0.5099023432018833
8234,0.52,1381367,Boston,Residential,5.093851985225814,7.308796233222077,7.999457401652956,6.499520981658891,69.88336704460329,72.12579079338248,17,9.409141066103448,5.823903658754384,39.73690909729516,6.906835,0.698800124418503,2002365.3003689377,4.284576733662627,58.69862965297524,0.5869862965297524
1767,0.65,1058836,Chicago,Commercial,7.171304886402795,7.007255212842638,3.032556690010528,7.537682020450523,85.38659935252035,67.71063661962783,25,8.344065272980306,4.013122318439182,34.71307115205889,5.294180000000001,0.8867389967656735,429703.6052649882,7.701731694010681,68.4970110343529,0.684970110343529
2028,0.32,1206370,Austin,Mixed-use,9.19191731380981,5.890200909809115,2.584222795370204,6.220091888089806,14.016543338273035,52.25728202618095,10,9.37948488803016,3.579493802827871,41.00722353034168,6.0318499999999995,0.5132005762083081,493174.25663689646,9.521808292090501,66.97087662823182,0.6697087662823182
4056,0.35,372985,New York,Residential,6.751289430234287,9.386648132933722,8.796095832409033,5.400793219221958,54.418314897680176,78.19526169721519,15,7.3301610953667815,6.604717754548478,27.264157343900187,1.864925,0.4323066983024234,986348.5132737929,2.7654345165225234,41.98103959964619,0.41981039599646186
4390,0.89,204447,New York,Residential,9.58181588066358,3.4985438418085444,4.997655531293539,7.496142843877735,0.800814067378286,15.56479927615908,20,3.885152315371375,2.883888229505235,15.92721773504833,1.022235,1.0,1067571.492424051,13.57941488273277,65.13688949350282,0.6513688949350283
9338,0.96,200029,Boston,Residential,8.934540758901978,2.4380193771017957,2.2334752254533994,7.275630354322007,9.509364771072947,39.19411897884374,25,9.15618589528778,2.208503600144221,43.342910099337104,1.000145,1.0,2270838.8601949406,13.77215173612219,84.96322805888116,0.8496322805888116
5893,0.5,259830,Chicago,Residential,6.2604981597771125,6.5590331309839955,8.759902809897444,6.298724001831789,5.421174420599306,49.000425076434354,14,3.47412060936595,5.5779736687697286,10.811569915845755,1.29915,0.6837555374719095,1433074.8986002125,6.000189030624905,42.272184355097,0.42272184355097
9292,0.42,1636518,Los Angeles,Commercial,8.504127558269445,1.9881406093740295,8.344831176228354,3.5978941338192962,72.54780340154869,11.040949767672625,25,3.704484408140284,4.4852146662582015,16.534281431327393,8.18259,0.5601318945034842,2259652.461868857,10.11388108271471,48.69713341757512,0.48697133417575117
8933,0.72,1466992,Austin,Commercial,6.783198492912707,3.150105071834246,9.855157275074472,4.058120922002716,8.105956387760315,41.9513709337517,16,4.16850392112291,5.3419870013818125,17.6924145337803,7.334960000000001,0.8599039446634508,2172349.9184109448,7.6912143430811755,51.103592606628126,0.5110359260662812
